index                            shard prirep ip         segment generation docs.count docs.deleted     size size.memory committed searchable version compound
performance_metrics              0     p      172.17.0.2 _1               1         20            0    7.4kb           0 true      true       9.6.0   true
performance_metrics              0     p      172.17.0.2 _2               2         20            0    7.4kb           0 true      true       9.6.0   true
performance_metrics              0     p      172.17.0.2 _3               3          7            0      7kb           0 true      true       9.6.0   true
performance_metrics              0     p      172.17.0.2 _4               4         13            0    7.4kb           0 true      true       9.6.0   true
performance_metrics              0     p      172.17.0.2 _5               5         20            0    7.4kb           0 true      true       9.6.0   true
performance_metrics              0     p      172.17.0.2 _6               6         20            0    7.3kb           0 true      true       9.6.0   true
performance_metrics              0     p      172.17.0.2 _7               7         20            0    7.4kb           0 true      true       9.6.0   true
performance_metrics              0     p      172.17.0.2 _8               8         20            0    7.3kb           0 true      true       9.6.0   true
performance_metrics              0     p      172.17.0.2 _9               9         20            0    7.3kb           0 true      true       9.6.0   true
performance_metrics              0     p      172.17.0.2 _a              10         20            0    7.4kb           0 true      true       9.6.0   true
recommendation_test              0     p      172.17.0.2 _0               0         12            0    6.7kb           0 true      true       9.6.0   true
search_indexing-db               0     p      172.17.0.2 _0               0          2            0    4.4kb           0 true      true       9.6.0   true
test_ngram_v1                    0     p      172.17.0.2 _0               0          1            0    4.1kb           0 true      true       9.6.0   true
test_omnisearch_v1               0     p      172.17.0.2 _0               0          2            0    6.2kb           0 true      true       9.6.0   true
test_omnisearch_v2               0     p      172.17.0.2 _5               5        426            0    1.9mb           0 true      true       9.6.0   true
test_omnisearch_v2               0     p      172.17.0.2 _7               7        436            0    1.9mb           0 true      true       9.6.0   true
test_omnisearch_v2               0     p      172.17.0.2 _c              12       4138            0   17.8mb           0 true      true       9.6.0   true
test_omnisearch_v3               0     p      172.17.0.2 _2               2          1            0    6.5kb           0 true      true       9.6.0   true
test_omnisearch_v3               0     p      172.17.0.2 _3               3          1            1    8.8kb           0 true      true       9.6.0   true
test_performance_metrics_v1      0     p      172.17.0.2 _0               0          2            0    7.3kb           0 true      true       9.6.0   true
test_service_realtime_metrics_v1 0     p      172.17.0.2 _0               0          1            0    4.5kb           0 true      true       9.6.0   true
test_service_realtime_metrics_v1 0     p      172.17.0.2 _1               1          1            0    4.5kb           0 true      true       9.6.0   true
test_service_realtime_metrics_v1 0     p      172.17.0.2 _2               2          1            0    4.5kb           0 true      true       9.6.0   true
test_service_realtime_metrics_v1 0     p      172.17.0.2 _3               3          1            0    4.5kb           0 true      true       9.6.0   true
